instanceID,siteLabel,date,gpsLocation:Latitude,gpsLocation:Longitude,gpsLocation:Altitude,gpsLocation:Accuracy,sitePic__filename,sitePic__type,sitePic__url,sitePic,aspect,slope,SiteNotes,weather,startTime,device,daubPlots__daub_Xcoord,daubPlots__daub_Ycoord,daubPlots__denso,daubPlots__daubplotbare,daubPlots__daubplotltter,daubPlots__daubplotgraminoid,daubPlots__daubplotforb,daubPlots__daubplotshrub,daubPlots__daubplottree,daubPlots__depthOhorizon,daubPlots__depthMhorizon1,daubPlots__depthOhorizon2,daubPlots__depthMhorizon2,daubPlots__depthOhorizon3,daubPlots__depthMhorizon3,daubPlots__depthOhorizon4,daubPlots__depthMhorizon4,daubPlots__tempOhorizon,daubPlots__tempMineral,daubPlots__VegCompositionBlock__speciesCode,daubPlots__VegCompositionBlock__coverClass,vegRich_tree,vegRich_shrub,deadDown,plantMeasurements__plantStartTime,plantMeasurements__taxon,plantMeasurements__indiv,plantMeasurements__xcoord,plantMeasurements__ycoord,plantMeasurements__direction,plantMeasurements__phenology,plantMeasurements__asochost,plantMeasurements__circumStem,plantMeasurements__width,plantMeasurements__width2,plantMeasurements__height,plantMeasurements__height_sample,endTime
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Potentilla palmate,2,,,,2018-07-17T23:12:09.126Z,Arttri,4,20,39,west,flowering,null,null,150,87,88,42,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unk forb 1,3,,,,2018-07-17T23:20:49.928Z,Arttri,5,38,8,north,flowering,null,null,110,50,65,42,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Festuca,2,,,,2018-07-17T23:27:03.193Z,Arttri,6,41,15,east,flowering,null,null,41,35,62,50,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unk forb 3,2,,,,2018-07-17T23:34:00.367Z,Arttri,7,13,22,south,flowering,null,null,101,102,99,50,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Achillea m,1,,,,2018-07-17T23:39:13.597Z,Aettri,8,37,28,north,flowering,null,null,120,64,74,50,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unk grass same as b4,1,,,,2018-07-17T23:43:10.196Z,Arttri,9,18,44,west,flowering,null,null,100,60,81,45,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unk purple aster,2,,,,2018-07-17T23:52:38.615Z,Arttri,10,1,0,east,flowering,null,null,76,101,76,51,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chickweed looking thing,1,,,,2018-07-17T23:59:00.588Z,Geranium,1,21,26,west,flowering,null,null,50,46,47,20,
,,,,,,,,,,,,,,,,,33,30,0,0,5,1,4,0,0,14,0,12,0,15,null,13,null,52.7,null,Artemisia tridentata,4,,,,2018-07-18T00:16:58.268Z,Geranium,2,23,24,west,flowering,null,null,54,52,57,30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geranium,4,,,,2018-07-18T00:24:28.622Z,Ger,3,28,36,east,flowering,null,null,33,33,42,15,
